1,Rashee Relegation,102.58,Eat A DCK McCaffrey,62.96
2,Rashee Relegation,97.16,Hawk Tua,127.46
3,Rashee Relegation,188.52,Lamartyrs’ Brigade,143.18
4,Rashee Relegation,92.6,Raheem Moistert,122.9
5,Rashee Relegation,100.54,Tatt’s Terrific Team,102.44
6,Rashee Relegation,110.9,Where Da Gold At?,113.86
7,Rashee Relegation,89.52,imdrunkrightnow,120.38
8,Rashee Relegation,132.92,Color Me Ladd,87.7
9,Rashee Relegation,126.1,KC Masterpiece,151.48
10,Rashee Relegation,110.5,Chili Con Cussion,68.92
11,Rashee Relegation,74.68,Make it Hurts so good,88.04
12,Rashee Relegation,110.78,Cock Gastrique,99.2
13,Rashee Relegation,123.72,AirBudGoldenReceiver,130.84
14,Rashee Relegation,138.08,The Mucky Duck (Plaintiff),151.88
1,The Mucky Duck (Plaintiff),106.86,Hawk Tua,125.34
2,The Mucky Duck (Plaintiff),103.62,Lamartyrs’ Brigade,118.58
3,The Mucky Duck (Plaintiff),133.36,Raheem Moistert,73.36
4,The Mucky Duck (Plaintiff),118.34,Tatt’s Terrific Team,117.6
5,The Mucky Duck (Plaintiff),122.58,Where Da Gold At?,110.16
6,The Mucky Duck (Plaintiff),79.42,imdrunkrightnow,118.6
7,The Mucky Duck (Plaintiff),121.52,Color Me Ladd,80.44
8,The Mucky Duck (Plaintiff),112.12,KC Masterpiece,107.42
9,The Mucky Duck (Plaintiff),106.52,Chili Con Cussion,115.42
10,The Mucky Duck (Plaintiff),111.36,Make it Hurts so good,114.58
11,The Mucky Duck (Plaintiff),167.18,Cock Gastrique,84.34
12,The Mucky Duck (Plaintiff),112.02,AirBudGoldenReceiver,142.9
13,The Mucky Duck (Plaintiff),134.88,Hells Wells,131.8
15,The Mucky Duck (Plaintiff),98.74,Tatt’s Terrific Team,121.16
1,AirBudGoldenReceiver,104.16,Lamartyrs’ Brigade,93.12
2,AirBudGoldenReceiver,84.64,Raheem Moistert,116.4
3,AirBudGoldenReceiver,155.56,Tatt’s Terrific Team,109.48
4,AirBudGoldenReceiver,134.12,Where Da Gold At?,131.44
5,AirBudGoldenReceiver,154.32,imdrunkrightnow,153.26
6,AirBudGoldenReceiver,110.26,Color Me Ladd,119.48
7,AirBudGoldenReceiver,109.14,KC Masterpiece,107.36
8,AirBudGoldenReceiver,131.84,Chili Con Cussion,116.54
9,AirBudGoldenReceiver,103.36,Make it Hurts so good,113.8
10,AirBudGoldenReceiver,118.18,Cock Gastrique,138.24
11,AirBudGoldenReceiver,117.04,Hells Wells,152.88
14,AirBudGoldenReceiver,170.42,Eat A DCK McCaffrey,130.16
15,AirBudGoldenReceiver,106.04,Eat A DCK McCaffrey,129.94
1,Raheem Moistert,145.52,Cock Gastrique,95.48
5,Raheem Moistert,103.16,Eat A DCK McCaffrey,164.08
6,Raheem Moistert,83.68,Hawk Tua,86.1
7,Raheem Moistert,136.88,Lamartyrs’ Brigade,134.24
8,Raheem Moistert,175.66,Hells Wells,128.0
9,Raheem Moistert,119.44,Tatt’s Terrific Team,155.04
10,Raheem Moistert,106.68,Where Da Gold At?,75.34
11,Raheem Moistert,131.62,imdrunkrightnow,116.78
12,Raheem Moistert,123.48,Color Me Ladd,103.58
13,Raheem Moistert,132.9,KC Masterpiece,140.06
14,Raheem Moistert,136.84,Chili Con Cussion,102.74
15,Raheem Moistert,108.94,Make it Hurts so good,131.2
1,Chili Con Cussion,101.4,Where Da Gold At?,108.58
2,Chili Con Cussion,136.6,imdrunkrightnow,121.78
3,Chili Con Cussion,156.04,Color Me Ladd,132.2
4,Chili Con Cussion,160.16,KC Masterpiece,101.0
5,Chili Con Cussion,104.36,Hells Wells,107.4
6,Chili Con Cussion,106.82,Make it Hurts so good,128.36
7,Chili Con Cussion,88.7,Cock Gastrique,92.7
11,Chili Con Cussion,101.64,Eat A DCK McCaffrey,168.94
12,Chili Con Cussion,96.32,Hawk Tua,64.7
13,Chili Con Cussion,125.36,Lamartyrs’ Brigade,134.08
1,Color Me Ladd,92.96,Hells Wells,92.92
2,Color Me Ladd,101.8,KC Masterpiece,130.9
4,Color Me Ladd,122.0,Make it Hurts so good,101.32
5,Color Me Ladd,89.14,Cock Gastrique,87.7
9,Color Me Ladd,97.04,Eat A DCK McCaffrey,148.44
10,Color Me Ladd,100.68,Hawk Tua,126.42
11,Color Me Ladd,99.98,Lamartyrs’ Brigade,166.28
13,Color Me Ladd,131.18,Tatt’s Terrific Team,130.94
14,Color Me Ladd,121.26,Where Da Gold At?,98.16
2,Hells Wells,117.24,Eat A DCK McCaffrey,139.62
3,Hells Wells,101.12,KC Masterpiece,86.18
4,Hells Wells,136.18,Hawk Tua,106.92
6,Hells Wells,140.8,Lamartyrs’ Brigade,145.02
7,Hells Wells,121.2,Make it Hurts so good,104.66
9,Hells Wells,127.7,Cock Gastrique,76.46
10,Hells Wells,112.44,Tatt’s Terrific Team,101.54
12,Hells Wells,83.32,Where Da Gold At?,104.18
14,Hells Wells,139.1,imdrunkrightnow,133.92
15,Hells Wells,170.12,Lamartyrs’ Brigade,164.3
16,Hells Wells,128.22,Eat A DCK McCaffrey,155.98
17,Hells Wells,123.76,Make it Hurts so good,94.6
1,imdrunkrightnow,117.58,KC Masterpiece,107.7
3,imdrunkrightnow,67.26,Make it Hurts so good,98.44
4,imdrunkrightnow,123.48,Cock Gastrique,106.18
8,imdrunkrightnow,113.1,Eat A DCK McCaffrey,100.86
9,imdrunkrightnow,88.78,Hawk Tua,78.68
10,imdrunkrightnow,72.6,Lamartyrs’ Brigade,142.2
12,imdrunkrightnow,110.86,Tatt’s Terrific Team,146.56
13,imdrunkrightnow,101.64,Where Da Gold At?,108.66
4,Lamartyrs’ Brigade,137.92,Eat A DCK McCaffrey,130.78
5,Lamartyrs’ Brigade,148.42,Hawk Tua,119.26
8,Lamartyrs’ Brigade,120.88,Tatt’s Terrific Team,132.44
9,Lamartyrs’ Brigade,146.6,Where Da Gold At?,120.2
12,Lamartyrs’ Brigade,107.68,KC Masterpiece,177.5
14,Lamartyrs’ Brigade,120.86,Make it Hurts so good,109.22
1,Tatt’s Terrific Team,129.84,Make it Hurts so good,101.42
2,Tatt’s Terrific Team,104.44,Cock Gastrique,89.84
6,Tatt’s Terrific Team,116.34,Eat A DCK McCaffrey,107.22
7,Tatt’s Terrific Team,89.86,Hawk Tua,88.48
11,Tatt’s Terrific Team,110.54,Where Da Gold At?,57.16
14,Tatt’s Terrific Team,119.5,KC Masterpiece,88.72
16,Tatt’s Terrific Team,157.5,Make it Hurts so good,106.94
17,Tatt’s Terrific Team,142.9,Eat A DCK McCaffrey,139.98
3,Hawk Tua,110.68,Eat A DCK McCaffrey,125.06
8,Hawk Tua,156.3,Where Da Gold At?,96.3
11,Hawk Tua,110.16,KC Masterpiece,100.0
13,Hawk Tua,130.46,Make it Hurts so good,95.22
14,Hawk Tua,144.9,Cock Gastrique,147.26
5,KC Masterpiece,106.86,Make it Hurts so good,131.34
6,KC Masterpiece,85.9,Cock Gastrique,96.06
10,KC Masterpiece,123.34,Eat A DCK McCaffrey,135.62
3,Cock Gastrique,96.58,Where Da Gold At?,76.98
8,Cock Gastrique,104.18,Make it Hurts so good,138.84
13,Cock Gastrique,88.0,Eat A DCK McCaffrey,139.16
2,Where Da Gold At?,74.06,Make it Hurts so good,127.12
7,Where Da Gold At?,112.74,Eat A DCK McCaffrey,135.54
12,Make it Hurts so good,109.06,Eat A DCK McCaffrey,105.26
