1,10.96,Motor Boatin SOB's,Starter,Derek Anderson,Buf,QB
1,5.9,Motor Boatin SOB's,Starter,T.J. Houshmandzadeh,LV,WR|W/R
1,12.2,Motor Boatin SOB's,Starter,Roy Williams,Chi,WR|W/R
1,12.7,Motor Boatin SOB's,Starter,LaDainian Tomlinson,NYJ,RB|W/R
1,8.1,Motor Boatin SOB's,Starter,Jamal Lewis,Cle,RB|W/R
1,0.9,Motor Boatin SOB's,Starter,Alge Crumpler,NE,TE
1,14.5,Motor Boatin SOB's,Starter,Nate Burleson,Det,WR|W/R
1,11.6,Motor Boatin SOB's,Non-Starter,Greg Jennings,Mia,WR|W/R
1,12.2,Motor Boatin SOB's,Non-Starter,Felix Jones,Pit,RB|W/R
1,16.9,Motor Boatin SOB's,Non-Starter,Jerious Norwood,LAR,RB|W/R
1,5.3,Motor Boatin SOB's,Non-Starter,D.J. Hackett,Car,WR|W/R
1,0.0,Motor Boatin SOB's,Non-Starter,Jacob Hester,Den,RB|W/R
1,13.88,Motor Boatin SOB's,Non-Starter,Jake Delhomme,Hou,QB
1,4.0,Motor Boatin SOB's,Starter,Mason Crosby,NYG,K
1,2.0,Motor Boatin SOB's,Starter,Minnesota Vikings,Min,DEF
2,3.24,Motor Boatin SOB's,Starter,Derek Anderson,Buf,QB
2,4.1,Motor Boatin SOB's,Starter,T.J. Houshmandzadeh,LV,WR|W/R
2,6.3,Motor Boatin SOB's,Starter,Roy Williams,Chi,WR|W/R
2,5.0,Motor Boatin SOB's,Starter,LaDainian Tomlinson,NYJ,RB|W/R
2,8.1,Motor Boatin SOB's,Starter,Jamal Lewis,Cle,RB|W/R
2,1.1,Motor Boatin SOB's,Starter,Bo Scaife,Ten,TE
2,19.7,Motor Boatin SOB's,Starter,Greg Jennings,Mia,WR|W/R
2,3.42,Motor Boatin SOB's,Non-Starter,Jake Delhomme,Hou,QB
2,7.0,Motor Boatin SOB's,Non-Starter,Felix Jones,Pit,RB|W/R
2,3.1,Motor Boatin SOB's,Non-Starter,Jerious Norwood,LAR,RB|W/R
2,2.7,Motor Boatin SOB's,Non-Starter,D.J. Hackett,Car,WR|W/R
2,0.0,Motor Boatin SOB's,Non-Starter,Jacob Hester,Den,RB|W/R
2,0.0,Motor Boatin SOB's,Non-Starter,Mark Clayton,LAR,WR|W/R
2,6.0,Motor Boatin SOB's,Starter,Mason Crosby,NYG,K
2,7.0,Motor Boatin SOB's,Starter,Minnesota Vikings,Min,DEF
3,3.64,Motor Boatin SOB's,Starter,Jake Delhomme,Hou,QB
3,15.5,Motor Boatin SOB's,Starter,Greg Jennings,Mia,WR|W/R
3,2.8,Motor Boatin SOB's,Starter,Roy Williams,Chi,WR|W/R
3,8.7,Motor Boatin SOB's,Starter,Darren Sproles,Phi,RB|W/R
3,14.4,Motor Boatin SOB's,Starter,Felix Jones,Pit,RB|W/R
3,10.1,Motor Boatin SOB's,Starter,Bo Scaife,Ten,TE
3,11.0,Motor Boatin SOB's,Starter,Jerious Norwood,LAR,RB|W/R
3,26.6,Motor Boatin SOB's,Non-Starter,T.J. Houshmandzadeh,LV,WR|W/R
3,22.2,Motor Boatin SOB's,Non-Starter,LaDainian Tomlinson,NYJ,RB|W/R
3,2.9,Motor Boatin SOB's,Non-Starter,Derek Anderson,Buf,QB
3,9.2,Motor Boatin SOB's,Non-Starter,Jamal Lewis,Cle,RB|W/R
3,2.4,Motor Boatin SOB's,Non-Starter,Mark Clayton,LAR,WR|W/R
3,4.0,Motor Boatin SOB's,Non-Starter,Muhsin Muhammad,Car,WR|W/R
3,9.0,Motor Boatin SOB's,Starter,Mason Crosby,NYG,K
3,19.0,Motor Boatin SOB's,Starter,Minnesota Vikings,Min,DEF
4,19.76,Motor Boatin SOB's,Starter,Jake Delhomme,Hou,QB
4,25.9,Motor Boatin SOB's,Starter,Greg Jennings,Mia,WR|W/R
