1,9.0,Shat-tastic,Starter,Matt Hasselbeck,Ind,QB
1,8.0,Shat-tastic,Starter,Torry Holt,Jax,WR|W/R
1,14.0,Shat-tastic,Starter,Terrell Owens,Cin,WR|W/R
1,20.0,Shat-tastic,Starter,LaDainian Tomlinson,NYJ,RB|W/R
1,5.0,Shat-tastic,Starter,Kevin Jones,Chi,RB|W/R
1,5.0,Shat-tastic,Starter,Benjamin Watson,NE,TE
1,10.0,Shat-tastic,Starter,Muhsin Muhammad,Car,WR|W/R
1,0.0,Shat-tastic,Non-Starter,Joe Jerevicius,Cle,WR|W/R
1,2.0,Shat-tastic,Non-Starter,Mike Anderson,Bal,RB|W/R
1,3.0,Shat-tastic,Non-Starter,Cedric Benson,GB,RB|W/R
1,17.0,Shat-tastic,Non-Starter,Fred Taylor,NE,RB|W/R
1,-1.0,Shat-tastic,Non-Starter,Vince Young,Phi,QB
1,0.0,Shat-tastic,Non-Starter,Stephen Davis,LAR,RB|W/R
1,10.0,Shat-tastic,Starter,Shayne Graham,Atl,K
1,4.0,Shat-tastic,Starter,Denver Broncos,Den,DEF
2,10.0,Shat-tastic,Starter,Matt Hasselbeck,Ind,QB
2,9.0,Shat-tastic,Starter,Torry Holt,Jax,WR|W/R
2,1.0,Shat-tastic,Starter,Terrell Owens,Cin,WR|W/R
2,24.0,Shat-tastic,Starter,LaDainian Tomlinson,NYJ,RB|W/R
2,11.0,Shat-tastic,Starter,Fred Taylor,NE,RB|W/R
2,3.0,Shat-tastic,Starter,Benjamin Watson,NE,TE
2,5.0,Shat-tastic,Starter,Muhsin Muhammad,Car,WR|W/R
2,2.0,Shat-tastic,Non-Starter,Cedric Benson,GB,RB|W/R
2,3.0,Shat-tastic,Non-Starter,Kevin Jones,Chi,RB|W/R
2,12.0,Shat-tastic,Non-Starter,Vince Young,Phi,QB
2,0.0,Shat-tastic,Non-Starter,Jerry Porter,Jax,WR|W/R
2,2.0,Shat-tastic,Non-Starter,Dallas Clark,Bal,TE
2,6.0,Shat-tastic,Starter,Shayne Graham,Atl,K
2,12.0,Shat-tastic,Starter,Denver Broncos,Den,DEF
2,1.0,Shat-tastic,Non-Starter,Detroit,Det,DEF
3,33.0,Shat-tastic,Starter,Matt Hasselbeck,Ind,QB
3,18.0,Shat-tastic,Starter,Torry Holt,Jax,WR|W/R
3,11.0,Shat-tastic,Starter,Muhsin Muhammad,Car,WR|W/R
3,7.0,Shat-tastic,Starter,Fred Taylor,NE,RB|W/R
3,18.0,Shat-tastic,Starter,Kevin Jones,Chi,RB|W/R
3,9.0,Shat-tastic,Starter,Dallas Clark,Bal,TE
3,3.0,Shat-tastic,Starter,Jerricho Cotchery,Car,WR|W/R
3,0.0,Shat-tastic,Non-Starter,Cedric Benson,GB,RB|W/R
3,5.0,Shat-tastic,Non-Starter,Benjamin Watson,NE,TE
3,0.0,Shat-tastic,Non-Starter,Terrell Owens,Cin,WR|W/R
3,0.0,Shat-tastic,Non-Starter,LaDainian Tomlinson,NYJ,RB|W/R
3,0.0,Shat-tastic,Non-Starter,Vince Young,Phi,QB
3,0.0,Shat-tastic,Starter,Shayne Graham,Atl,K
3,6.0,Shat-tastic,Starter,Denver Broncos,Den,DEF
3,4.0,Shat-tastic,Non-Starter,Detroit,Det,DEF
4,17.0,Shat-tastic,Starter,David Carr,NYG,QB
4,16.0,Shat-tastic,Starter,Torry Holt,Jax,WR|W/R
4,10.0,Shat-tastic,Starter,Muhsin Muhammad,Car,WR|W/R
4,1.0,Shat-tastic,Starter,Fred Taylor,NE,RB|W/R
4,9.0,Shat-tastic,Starter,LaDainian Tomlinson,NYJ,RB|W/R
4,1.0,Shat-tastic,Starter,Dallas Clark,Bal,TE
4,21.0,Shat-tastic,Starter,Kevin Jones,Chi,RB|W/R
4,12.0,Shat-tastic,Non-Starter,Jerricho Cotchery,Car,WR|W/R
4,4.0,Shat-tastic,Non-Starter,Matt Hasselbeck,Ind,QB
4,3.0,Shat-tastic,Non-Starter,Cedric Benson,GB,RB|W/R
4,3.0,Shat-tastic,Non-Starter,Benjamin Watson,NE,TE
4,8.0,Shat-tastic,Non-Starter,Terrell Owens,Cin,WR|W/R
4,8.0,Shat-tastic,Starter,Shayne Graham,Atl,K
4,1.0,Shat-tastic,Starter,New Orleans Saints,NO,DEF
4,0.0,Shat-tastic,Non-Starter,Denver Broncos,Den,DEF
5,21.0,Shat-tastic,Starter,Damon Huard,KC,QB
5,10.0,Shat-tastic,Starter,Torry Holt,Jax,WR|W/R
5,1.0,Shat-tastic,Starter,Muhsin Muhammad,Car,WR|W/R
5,6.0,Shat-tastic,Starter,LaDainian Tomlinson,NYJ,RB|W/R
5,4.0,Shat-tastic,Starter,Kevin Jones,Chi,RB|W/R
5,1.0,Shat-tastic,Starter,Dallas Clark,Bal,TE
5,4.0,Shat-tastic,Starter,Terrell Owens,Cin,WR|W/R
