1,LateFantasyFootball,82.26,AirBudGoldenReceiver,83.84
2,LateFantasyFootball,89.49,le Cousins dangereux,91.8
3,LateFantasyFootball,101.24,Throbbing Dak,96.27
4,LateFantasyFootball,74.45,Winning aint Breesy!,57.38
5,LateFantasyFootball,89.56,Chili Con Cussion,54.42
6,LateFantasyFootball,71.63,DerekCarseatHeadrest,108.68
7,LateFantasyFootball,92.79,Just Say Quanbarkley,122.39
8,LateFantasyFootball,111.46,Football Yankees,113.71
9,LateFantasyFootball,83.84,imdrunkrightnow,86.79
10,LateFantasyFootball,91.42,Bros Guice-ing Bros,92.31
11,LateFantasyFootball,68.99,Pickle Rick Pitino,63.88
12,LateFantasyFootball,118.61,Stefon Urkel,107.78
13,LateFantasyFootball,84.11,Wild Wild Wentz,99.69
14,LateFantasyFootball,78.5,Throbbing Dak,78.28
15,LateFantasyFootball,87.62,Hells Wells,49.74
16,LateFantasyFootball,57.34,AirBudGoldenReceiver,129.76
2,AirBudGoldenReceiver,97.28,Where Da Gold At?,82.64
3,AirBudGoldenReceiver,95.76,le Cousins dangereux,58.94
4,AirBudGoldenReceiver,91.16,Throbbing Dak,90.66
5,AirBudGoldenReceiver,107.05,Winning aint Breesy!,110.37
6,AirBudGoldenReceiver,102.0,Chili Con Cussion,79.67
7,AirBudGoldenReceiver,83.66,DerekCarseatHeadrest,66.56
8,AirBudGoldenReceiver,96.55,Just Say Quanbarkley,100.85
9,AirBudGoldenReceiver,90.1,Football Yankees,58.87
10,AirBudGoldenReceiver,62.5,imdrunkrightnow,117.25
11,AirBudGoldenReceiver,70.44,Bros Guice-ing Bros,110.67
12,AirBudGoldenReceiver,77.88,Pickle Rick Pitino,118.37
13,AirBudGoldenReceiver,68.84,Stefon Urkel,75.98
15,AirBudGoldenReceiver,82.34,Stefon Urkel,68.31
1,le Cousins dangereux,66.86,Hells Wells,110.44
4,le Cousins dangereux,109.18,Where Da Gold At?,95.42
5,le Cousins dangereux,87.74,Throbbing Dak,125.8
6,le Cousins dangereux,74.97,Winning aint Breesy!,78.97
7,le Cousins dangereux,126.49,Chili Con Cussion,65.45
8,le Cousins dangereux,78.76,DerekCarseatHeadrest,97.67
9,le Cousins dangereux,100.26,Just Say Quanbarkley,62.05
10,le Cousins dangereux,67.02,Football Yankees,96.39
11,le Cousins dangereux,63.43,imdrunkrightnow,103.31
12,le Cousins dangereux,57.58,Bros Guice-ing Bros,101.27
13,le Cousins dangereux,55.39,Pickle Rick Pitino,45.82
1,Throbbing Dak,108.1,Wild Wild Wentz,128.73
2,Throbbing Dak,106.7,Hells Wells,87.2
6,Throbbing Dak,164.71,Where Da Gold At?,80.15
7,Throbbing Dak,121.27,Winning aint Breesy!,75.38
8,Throbbing Dak,67.48,Chili Con Cussion,95.09
9,Throbbing Dak,75.65,DerekCarseatHeadrest,104.78
10,Throbbing Dak,162.87,Just Say Quanbarkley,168.35
11,Throbbing Dak,87.31,Football Yankees,89.62
12,Throbbing Dak,92.93,imdrunkrightnow,64.72
13,Throbbing Dak,95.39,Bros Guice-ing Bros,109.1
15,Throbbing Dak,89.58,Winning aint Breesy!,76.32
1,Winning aint Breesy!,101.11,Stefon Urkel,85.02
2,Winning aint Breesy!,89.87,Wild Wild Wentz,99.06
3,Winning aint Breesy!,112.64,Hells Wells,119.45
8,Winning aint Breesy!,100.5,Where Da Gold At?,68.24
9,Winning aint Breesy!,81.64,Chili Con Cussion,80.74
10,Winning aint Breesy!,82.2,DerekCarseatHeadrest,103.98
11,Winning aint Breesy!,92.02,Just Say Quanbarkley,131.15
12,Winning aint Breesy!,105.49,Football Yankees,124.05
13,Winning aint Breesy!,68.33,imdrunkrightnow,68.75
14,Winning aint Breesy!,67.59,Stefon Urkel,85.7
1,Chili Con Cussion,85.97,Pickle Rick Pitino,85.06
2,Chili Con Cussion,82.75,Stefon Urkel,126.71
3,Chili Con Cussion,59.25,Wild Wild Wentz,72.27
4,Chili Con Cussion,81.17,Hells Wells,84.8
10,Chili Con Cussion,93.85,Where Da Gold At?,64.41
11,Chili Con Cussion,93.14,DerekCarseatHeadrest,100.65
12,Chili Con Cussion,75.99,Just Say Quanbarkley,107.39
13,Chili Con Cussion,61.99,Football Yankees,82.81
1,DerekCarseatHeadrest,89.72,Bros Guice-ing Bros,116.34
2,DerekCarseatHeadrest,99.09,Pickle Rick Pitino,129.86
3,DerekCarseatHeadrest,97.43,Stefon Urkel,72.29
4,DerekCarseatHeadrest,114.08,Wild Wild Wentz,110.51
5,DerekCarseatHeadrest,80.22,Hells Wells,84.43
12,DerekCarseatHeadrest,104.61,Where Da Gold At?,36.62
13,DerekCarseatHeadrest,108.8,Just Say Quanbarkley,89.23
14,DerekCarseatHeadrest,93.03,Bros Guice-ing Bros,120.98
15,DerekCarseatHeadrest,90.83,Football Yankees,88.21
1,Just Say Quanbarkley,62.39,imdrunkrightnow,134.35
2,Just Say Quanbarkley,101.73,Bros Guice-ing Bros,92.54
3,Just Say Quanbarkley,105.78,Pickle Rick Pitino,75.31
4,Just Say Quanbarkley,110.93,Stefon Urkel,119.35
5,Just Say Quanbarkley,129.97,Wild Wild Wentz,100.29
6,Just Say Quanbarkley,147.94,Hells Wells,87.8
15,Just Say Quanbarkley,69.17,Bros Guice-ing Bros,109.97
16,Just Say Quanbarkley,126.16,Wild Wild Wentz,69.39
1,Football Yankees,80.94,Where Da Gold At?,89.69
2,Football Yankees,80.8,imdrunkrightnow,90.48
3,Football Yankees,114.0,Bros Guice-ing Bros,103.26
4,Football Yankees,109.2,Pickle Rick Pitino,87.01
5,Football Yankees,122.35,Stefon Urkel,64.79
6,Football Yankees,93.08,Wild Wild Wentz,99.4
7,Football Yankees,96.86,Hells Wells,66.91
14,Football Yankees,78.28,imdrunkrightnow,87.49
3,imdrunkrightnow,81.7,Where Da Gold At?,69.4
4,imdrunkrightnow,115.17,Bros Guice-ing Bros,86.26
