1,Football TSM,75.74,Make it Hurts so good,106.64
2,Football TSM,91.94,Where Da Gold At?,127.16
3,Football TSM,88.98,Bieniemy Combatants,119.0
4,Football TSM,113.4,AirBudGoldenReceiver,117.0
5,Football TSM,139.38,Hells Wells,48.58
6,Football TSM,105.72,imdrunkrightnow,107.3
7,Football TSM,53.8,Rachaad White Gladis,145.66
8,Football TSM,142.5,Cock Pasta,121.36
9,Football TSM,127.4,Herbert’s Sherbert Sandwich,98.44
10,Football TSM,137.14,Chili Con Cussion,110.62
11,Football TSM,92.24,KC Masterpiece,148.08
12,Football TSM,137.06,Surtain II Lose in the 1st Rnd,140.76
13,Football TSM,102.56,To the Window...To the Waller,153.84
14,Football TSM,101.84,Ian’s Great Team,106.82
1,Some Elves,145.04,Cock Pasta,112.12
2,Some Elves,71.76,Herbert’s Sherbert Sandwich,98.2
3,Some Elves,128.46,Chili Con Cussion,108.78
4,Some Elves,123.08,KC Masterpiece,120.42
5,Some Elves,94.42,Surtain II Lose in the 1st Rnd,136.08
6,Some Elves,147.28,To the Window...To the Waller,106.84
7,Some Elves,120.04,Ian’s Great Team,100.2
8,Some Elves,112.36,Rachaad White Gladis,144.96
9,Some Elves,132.72,Make it Hurts so good,74.78
10,Some Elves,105.76,Where Da Gold At?,135.0
11,Some Elves,108.8,Bieniemy Combatants,113.24
12,Some Elves,120.22,AirBudGoldenReceiver,81.08
13,Some Elves,108.2,Hells Wells,96.28
14,Some Elves,105.5,imdrunkrightnow,122.38
15,Some Elves,120.36,Bieniemy Combatants,114.88
16,Some Elves,121.42,Surtain II Lose in the 1st Rnd,64.3
17,Some Elves,120.96,Chili Con Cussion,125.04
1,AirBudGoldenReceiver,99.42,Rachaad White Gladis,84.32
2,AirBudGoldenReceiver,107.42,Hells Wells,153.44
3,AirBudGoldenReceiver,112.22,imdrunkrightnow,84.88
5,AirBudGoldenReceiver,185.04,Cock Pasta,116.02
6,AirBudGoldenReceiver,119.52,Herbert’s Sherbert Sandwich,104.78
7,AirBudGoldenReceiver,79.26,Chili Con Cussion,102.28
8,AirBudGoldenReceiver,117.98,KC Masterpiece,128.9
9,AirBudGoldenReceiver,85.32,Surtain II Lose in the 1st Rnd,101.54
10,AirBudGoldenReceiver,107.12,To the Window...To the Waller,111.02
11,AirBudGoldenReceiver,101.24,Ian’s Great Team,89.2
13,AirBudGoldenReceiver,112.24,Make it Hurts so good,142.02
14,AirBudGoldenReceiver,84.14,Where Da Gold At?,118.22
1,To the Window...To the Waller,123.96,Chili Con Cussion,87.36
2,To the Window...To the Waller,139.7,KC Masterpiece,156.8
3,To the Window...To the Waller,124.46,Surtain II Lose in the 1st Rnd,130.1
4,To the Window...To the Waller,135.36,Rachaad White Gladis,85.9
5,To the Window...To the Waller,142.68,Ian’s Great Team,121.06
7,To the Window...To the Waller,112.04,Make it Hurts so good,94.66
8,To the Window...To the Waller,89.28,Where Da Gold At?,131.66
9,To the Window...To the Waller,107.38,Bieniemy Combatants,112.9
11,To the Window...To the Waller,90.36,Hells Wells,123.14
12,To the Window...To the Waller,119.86,imdrunkrightnow,141.4
14,To the Window...To the Waller,107.96,Cock Pasta,98.14
15,To the Window...To the Waller,139.52,imdrunkrightnow,152.22
2,Chili Con Cussion,174.78,Ian’s Great Team,107.26
4,Chili Con Cussion,147.64,Make it Hurts so good,115.18
5,Chili Con Cussion,106.14,Where Da Gold At?,124.16
6,Chili Con Cussion,136.12,Bieniemy Combatants,98.94
8,Chili Con Cussion,99.68,Hells Wells,131.02
9,Chili Con Cussion,115.08,imdrunkrightnow,141.98
11,Chili Con Cussion,117.06,Cock Pasta,101.56
12,Chili Con Cussion,166.28,Herbert’s Sherbert Sandwich,96.78
13,Chili Con Cussion,121.54,Rachaad White Gladis,83.9
14,Chili Con Cussion,148.54,KC Masterpiece,132.74
15,Chili Con Cussion,111.14,Where Da Gold At?,58.14
16,Chili Con Cussion,128.18,imdrunkrightnow,107.94
1,Ian’s Great Team,83.74,Herbert’s Sherbert Sandwich,79.26
3,Ian’s Great Team,99.52,KC Masterpiece,136.48
4,Ian’s Great Team,127.3,Surtain II Lose in the 1st Rnd,116.6
6,Ian’s Great Team,107.46,Rachaad White Gladis,98.04
8,Ian’s Great Team,116.66,Make it Hurts so good,103.08
9,Ian’s Great Team,140.02,Where Da Gold At?,74.0
10,Ian’s Great Team,114.88,Bieniemy Combatants,139.38
12,Ian’s Great Team,121.76,Hells Wells,140.62
13,Ian’s Great Team,51.6,imdrunkrightnow,139.42
1,Hells Wells,69.48,Bieniemy Combatants,120.6
3,Hells Wells,150.26,Rachaad White Gladis,119.54
4,Hells Wells,122.84,imdrunkrightnow,153.36
6,Hells Wells,90.5,Cock Pasta,129.08
7,Hells Wells,114.6,Herbert’s Sherbert Sandwich,76.46
9,Hells Wells,112.92,KC Masterpiece,146.3
10,Hells Wells,162.68,Surtain II Lose in the 1st Rnd,89.04
14,Hells Wells,74.62,Make it Hurts so good,78.9
1,imdrunkrightnow,90.6,Where Da Gold At?,123.46
2,imdrunkrightnow,130.82,Bieniemy Combatants,110.64
5,imdrunkrightnow,153.42,Rachaad White Gladis,78.32
7,imdrunkrightnow,164.96,Cock Pasta,117.0
8,imdrunkrightnow,154.26,Herbert’s Sherbert Sandwich,116.32
10,imdrunkrightnow,149.72,KC Masterpiece,113.86
11,imdrunkrightnow,123.3,Surtain II Lose in the 1st Rnd,128.52
17,imdrunkrightnow,184.08,Surtain II Lose in the 1st Rnd,137.0
4,Bieniemy Combatants,136.3,Cock Pasta,100.64
5,Bieniemy Combatants,155.92,Herbert’s Sherbert Sandwich,120.94
7,Bieniemy Combatants,114.36,KC Masterpiece,178.56
