1,Motor Boatin SOB's,71.26,KENYANS!,79.98
2,Motor Boatin SOB's,60.54,Noun Verb 9/11,100.42
3,Motor Boatin SOB's,94.14,imdrunkrightnow,82.74
4,Motor Boatin SOB's,98.76,Fat Chiks w Ice Piks,124.26
5,Motor Boatin SOB's,116.34,AirBudGoldenReceiver,77.14
6,Motor Boatin SOB's,92.28,Football Yankees,109.0
7,Motor Boatin SOB's,81.4,Cock Salad,67.4
8,Motor Boatin SOB's,80.72,Kellen Joke,85.14
9,Motor Boatin SOB's,79.06,Dancing Gorillas,67.2
10,Motor Boatin SOB's,65.58,kidsinthemendenhall,38.72
11,Motor Boatin SOB's,93.38,Zombie Redskins 3,64.72
12,Motor Boatin SOB's,93.9,KENYANS!,97.42
13,Motor Boatin SOB's,95.86,Noun Verb 9/11,86.52
14,Motor Boatin SOB's,91.44,Football Yankees,84.08
15,Motor Boatin SOB's,64.7,Kellen Joke,96.78
16,Motor Boatin SOB's,70.1,Dancing Gorillas,96.78
2,KENYANS!,62.16,Zombie Redskins 3,81.26
3,KENYANS!,68.04,Noun Verb 9/11,75.0
4,KENYANS!,121.74,imdrunkrightnow,104.22
5,KENYANS!,96.46,Fat Chiks w Ice Piks,71.38
6,KENYANS!,88.66,AirBudGoldenReceiver,72.92
7,KENYANS!,87.44,Football Yankees,96.08
8,KENYANS!,97.26,Cock Salad,85.74
9,KENYANS!,93.6,Kellen Joke,96.58
10,KENYANS!,52.6,Dancing Gorillas,91.94
11,KENYANS!,113.42,kidsinthemendenhall,71.8
13,KENYANS!,122.56,Zombie Redskins 3,70.62
14,KENYANS!,87.06,Dancing Gorillas,109.26
15,KENYANS!,100.9,Football Yankees,74.14
1,Noun Verb 9/11,74.9,kidsinthemendenhall,51.8
4,Noun Verb 9/11,64.5,Zombie Redskins 3,52.18
5,Noun Verb 9/11,99.82,imdrunkrightnow,65.1
6,Noun Verb 9/11,67.72,Fat Chiks w Ice Piks,61.86
7,Noun Verb 9/11,135.84,AirBudGoldenReceiver,96.16
8,Noun Verb 9/11,114.98,Football Yankees,72.22
9,Noun Verb 9/11,81.56,Cock Salad,54.98
10,Noun Verb 9/11,93.38,Kellen Joke,155.58
11,Noun Verb 9/11,113.08,Dancing Gorillas,67.8
12,Noun Verb 9/11,126.62,kidsinthemendenhall,62.28
15,Noun Verb 9/11,116.52,Dancing Gorillas,102.04
16,Noun Verb 9/11,93.5,Kellen Joke,138.26
1,imdrunkrightnow,104.92,Dancing Gorillas,68.54
2,imdrunkrightnow,109.64,kidsinthemendenhall,61.1
6,imdrunkrightnow,78.2,Zombie Redskins 3,108.44
7,imdrunkrightnow,65.14,Fat Chiks w Ice Piks,98.46
8,imdrunkrightnow,116.46,AirBudGoldenReceiver,109.12
9,imdrunkrightnow,83.04,Football Yankees,96.96
10,imdrunkrightnow,87.78,Cock Salad,90.72
11,imdrunkrightnow,63.04,Kellen Joke,126.64
12,imdrunkrightnow,83.72,Dancing Gorillas,90.72
13,imdrunkrightnow,115.04,kidsinthemendenhall,67.88
1,Fat Chiks w Ice Piks,129.38,Kellen Joke,110.5
2,Fat Chiks w Ice Piks,106.44,Dancing Gorillas,117.68
3,Fat Chiks w Ice Piks,78.14,kidsinthemendenhall,91.44
8,Fat Chiks w Ice Piks,76.9,Zombie Redskins 3,99.58
9,Fat Chiks w Ice Piks,89.16,AirBudGoldenReceiver,82.44
10,Fat Chiks w Ice Piks,117.7,Football Yankees,148.36
11,Fat Chiks w Ice Piks,101.7,Cock Salad,92.1
12,Fat Chiks w Ice Piks,82.5,Kellen Joke,103.66
13,Fat Chiks w Ice Piks,94.6,Dancing Gorillas,94.44
1,AirBudGoldenReceiver,64.82,Cock Salad,86.3
2,AirBudGoldenReceiver,127.84,Kellen Joke,176.3
3,AirBudGoldenReceiver,105.32,Dancing Gorillas,135.16
4,AirBudGoldenReceiver,88.24,kidsinthemendenhall,87.86
10,AirBudGoldenReceiver,102.44,Zombie Redskins 3,96.2
11,AirBudGoldenReceiver,116.38,Football Yankees,92.96
12,AirBudGoldenReceiver,95.04,Cock Salad,59.74
13,AirBudGoldenReceiver,60.78,Kellen Joke,123.58
1,Football Yankees,143.94,Zombie Redskins 3,62.56
2,Football Yankees,117.04,Cock Salad,103.08
3,Football Yankees,65.94,Kellen Joke,146.66
4,Football Yankees,90.78,Dancing Gorillas,94.6
5,Football Yankees,98.04,kidsinthemendenhall,89.72
12,Football Yankees,137.6,Zombie Redskins 3,107.18
13,Football Yankees,109.48,Cock Salad,109.14
3,Cock Salad,136.7,Zombie Redskins 3,78.36
4,Cock Salad,125.0,Kellen Joke,107.94
5,Cock Salad,113.34,Dancing Gorillas,117.16
6,Cock Salad,110.94,kidsinthemendenhall,94.24
5,Kellen Joke,93.08,Zombie Redskins 3,91.52
6,Kellen Joke,103.38,Dancing Gorillas,111.34
7,Kellen Joke,121.82,kidsinthemendenhall,101.92
7,Dancing Gorillas,125.02,Zombie Redskins 3,95.22
8,Dancing Gorillas,114.44,kidsinthemendenhall,93.52
9,kidsinthemendenhall,73.56,Zombie Redskins 3,105.92
