1,Peak Football,71.22,imdrunkrightnow,113.34
2,Peak Football,60.77,Football Yankees,128.17
3,Peak Football,98.37,Pickle Rick Pitino,89.75
4,Peak Football,87.0,AirBudGoldenReceiver,76.48
5,Peak Football,78.82,Living On A Pryor!,112.84
6,Peak Football,67.03,DudeLooksLikeDelanie,55.84
7,Peak Football,111.51,Suck for Saquon?,89.91
8,Peak Football,117.13,Wild Wild Wentz,62.67
9,Peak Football,103.33,Chili Con Cussion,54.88
10,Peak Football,86.72,As the Crow Calls,121.26
11,Peak Football,70.62,BombedOutNDepleted!,39.85
12,Peak Football,88.62,Dak Salad,62.41
13,Peak Football,106.13,Big Veiny Dak,69.67
14,Peak Football,93.49,DudeLooksLikeDelanie,106.14
15,Peak Football,59.78,Dak Salad,86.63
2,imdrunkrightnow,76.79,Big Veiny Dak,82.63
3,imdrunkrightnow,83.55,Football Yankees,88.2
4,imdrunkrightnow,63.77,Pickle Rick Pitino,87.68
5,imdrunkrightnow,90.35,AirBudGoldenReceiver,111.36
6,imdrunkrightnow,63.19,Living On A Pryor!,92.75
7,imdrunkrightnow,65.14,DudeLooksLikeDelanie,85.76
8,imdrunkrightnow,92.16,Suck for Saquon?,65.52
9,imdrunkrightnow,68.72,Wild Wild Wentz,68.05
10,imdrunkrightnow,77.06,Chili Con Cussion,126.23
11,imdrunkrightnow,108.65,As the Crow Calls,96.19
12,imdrunkrightnow,88.78,BombedOutNDepleted!,80.21
13,imdrunkrightnow,115.36,Dak Salad,98.11
14,imdrunkrightnow,92.94,Suck for Saquon?,78.62
15,imdrunkrightnow,83.64,As the Crow Calls,112.98
16,imdrunkrightnow,72.41,Wild Wild Wentz,86.05
1,Football Yankees,70.72,Dak Salad,79.32
4,Football Yankees,79.94,Big Veiny Dak,64.33
5,Football Yankees,89.23,Pickle Rick Pitino,65.44
6,Football Yankees,113.93,AirBudGoldenReceiver,67.48
7,Football Yankees,77.51,Living On A Pryor!,95.67
8,Football Yankees,83.83,DudeLooksLikeDelanie,88.42
9,Football Yankees,95.67,Suck for Saquon?,74.8
10,Football Yankees,87.14,Wild Wild Wentz,96.62
11,Football Yankees,117.21,Chili Con Cussion,89.43
12,Football Yankees,134.94,As the Crow Calls,76.67
13,Football Yankees,99.25,BombedOutNDepleted!,93.65
14,Football Yankees,117.94,Dak Salad,106.83
15,Football Yankees,105.49,Living On A Pryor!,106.99
16,Football Yankees,67.24,DudeLooksLikeDelanie,71.82
1,Pickle Rick Pitino,82.96,BombedOutNDepleted!,79.79
2,Pickle Rick Pitino,103.0,Dak Salad,88.22
6,Pickle Rick Pitino,98.79,Big Veiny Dak,104.22
7,Pickle Rick Pitino,95.47,AirBudGoldenReceiver,96.22
8,Pickle Rick Pitino,80.9,Living On A Pryor!,127.03
9,Pickle Rick Pitino,84.75,DudeLooksLikeDelanie,97.29
10,Pickle Rick Pitino,47.59,Suck for Saquon?,84.39
11,Pickle Rick Pitino,56.32,Wild Wild Wentz,89.2
12,Pickle Rick Pitino,55.87,Chili Con Cussion,100.38
13,Pickle Rick Pitino,75.05,As the Crow Calls,80.97
1,AirBudGoldenReceiver,62.59,As the Crow Calls,81.79
