1,The Wire,71.7,AirBudGoldenReceiver,122.38
2,The Wire,72.63,A Shot and a Chase,66.63
3,The Wire,98.02,Chili Con Cussion,84.51
4,The Wire,115.34,Football Team,66.02
5,The Wire,108.97,Football Nets,47.62
6,The Wire,98.27,Hells Wells,72.8
7,The Wire,91.2,imdrunkrightnow,103.86
8,The Wire,88.74,QAaron,90.79
9,The Wire,108.38,French Fries & Gravy,79.76
10,The Wire,43.19,LittleStJamesGiants,70.87
11,The Wire,75.32,DobbinHoodMenNTights,105.78
12,The Wire,72.85,Cock Mirepoix,68.08
13,The Wire,111.64,Where Da Gold At?,59.81
14,The Wire,92.24,Football Team,103.86
2,AirBudGoldenReceiver,104.76,Why do I bother?!,100.6
3,AirBudGoldenReceiver,100.4,A Shot and a Chase,97.25
4,AirBudGoldenReceiver,111.14,Chili Con Cussion,86.15
5,AirBudGoldenReceiver,95.76,Football Team,106.7
6,AirBudGoldenReceiver,73.14,Football Nets,67.89
7,AirBudGoldenReceiver,91.95,Hells Wells,48.7
8,AirBudGoldenReceiver,80.44,imdrunkrightnow,63.57
9,AirBudGoldenReceiver,59.14,QAaron,108.95
10,AirBudGoldenReceiver,98.41,French Fries & Gravy,107.33
11,AirBudGoldenReceiver,86.58,LittleStJamesGiants,93.78
12,AirBudGoldenReceiver,102.72,DobbinHoodMenNTights,86.97
13,AirBudGoldenReceiver,90.39,Cock Mirepoix,64.45
14,AirBudGoldenReceiver,83.53,Where Da Gold At?,85.29
1,A Shot and a Chase,75.45,Dew Garita,104.78
4,A Shot and a Chase,79.48,Why do I bother?!,86.62
5,A Shot and a Chase,74.94,Chili Con Cussion,115.01
6,A Shot and a Chase,104.32,Football Team,74.17
7,A Shot and a Chase,127.63,Football Nets,88.11
8,A Shot and a Chase,71.62,Hells Wells,146.14
9,A Shot and a Chase,74.39,imdrunkrightnow,93.55
10,A Shot and a Chase,115.53,QAaron,68.35
11,A Shot and a Chase,98.34,French Fries & Gravy,84.1
12,A Shot and a Chase,95.24,LittleStJamesGiants,76.24
13,A Shot and a Chase,61.05,DobbinHoodMenNTights,114.43
1,Chili Con Cussion,86.02,Where Da Gold At?,93.96
2,Chili Con Cussion,88.75,Dew Garita,116.12
6,Chili Con Cussion,90.15,Why do I bother?!,62.93
7,Chili Con Cussion,121.41,Football Team,97.8
8,Chili Con Cussion,69.91,Football Nets,73.94
9,Chili Con Cussion,80.19,Hells Wells,111.78
10,Chili Con Cussion,75.92,imdrunkrightnow,77.16
11,Chili Con Cussion,92.46,QAaron,88.89
12,Chili Con Cussion,100.57,French Fries & Gravy,114.21
13,Chili Con Cussion,70.39,LittleStJamesGiants,108.7
1,Football Team,104.9,Cock Mirepoix,66.34
2,Football Team,112.99,Where Da Gold At?,81.58
3,Football Team,101.1,Dew Garita,82.4
8,Football Team,86.27,Why do I bother?!,43.56
9,Football Team,98.77,Football Nets,61.71
10,Football Team,80.55,Hells Wells,67.62
11,Football Team,104.41,imdrunkrightnow,105.44
12,Football Team,108.85,QAaron,80.14
13,Football Team,53.67,French Fries & Gravy,82.05
15,Football Team,112.14,French Fries & Gravy,107.09
16,Football Team,62.93,imdrunkrightnow,82.92
1,Football Nets,95.01,DobbinHoodMenNTights,81.55
2,Football Nets,134.58,Cock Mirepoix,121.15
3,Football Nets,107.89,Where Da Gold At?,92.48
4,Football Nets,58.3,Dew Garita,110.3
10,Football Nets,86.07,Why do I bother?!,95.76
11,Football Nets,83.8,Hells Wells,91.72
12,Football Nets,86.17,imdrunkrightnow,66.95
13,Football Nets,128.73,QAaron,72.55
1,Hells Wells,89.14,LittleStJamesGiants,121.06
2,Hells Wells,72.08,DobbinHoodMenNTights,128.27
3,Hells Wells,136.2,Cock Mirepoix,93.33
4,Hells Wells,86.44,Where Da Gold At?,119.11
5,Hells Wells,99.1,Dew Garita,91.58
12,Hells Wells,97.68,Why do I bother?!,70.38
13,Hells Wells,124.72,imdrunkrightnow,83.47
14,Hells Wells,75.57,French Fries & Gravy,100.55
1,imdrunkrightnow,78.4,French Fries & Gravy,89.55
2,imdrunkrightnow,92.86,LittleStJamesGiants,62.49
3,imdrunkrightnow,71.28,DobbinHoodMenNTights,85.87
4,imdrunkrightnow,122.57,Cock Mirepoix,107.78
5,imdrunkrightnow,83.0,Where Da Gold At?,72.47
6,imdrunkrightnow,103.74,Dew Garita,73.51
14,imdrunkrightnow,119.97,QAaron,108.75
15,imdrunkrightnow,113.52,Where Da Gold At?,59.45
1,QAaron,133.71,Why do I bother?!,96.23
2,QAaron,100.35,French Fries & Gravy,102.73
3,QAaron,100.32,LittleStJamesGiants,80.33
4,QAaron,113.63,DobbinHoodMenNTights,83.55
5,QAaron,62.11,Cock Mirepoix,58.39
6,QAaron,81.1,Where Da Gold At?,35.94
7,QAaron,123.57,Dew Garita,95.22
3,French Fries & Gravy,116.03,Why do I bother?!,76.39
4,French Fries & Gravy,103.45,LittleStJamesGiants,59.2
5,French Fries & Gravy,103.87,DobbinHoodMenNTights,98.59
6,French Fries & Gravy,135.23,Cock Mirepoix,96.77
7,French Fries & Gravy,49.72,Where Da Gold At?,89.56
8,French Fries & Gravy,83.19,Dew Garita,82.29
16,French Fries & Gravy,129.29,Where Da Gold At?,108.57
5,LittleStJamesGiants,86.16,Why do I bother?!,46.72
6,LittleStJamesGiants,58.23,DobbinHoodMenNTights,94.74
7,LittleStJamesGiants,97.47,Cock Mirepoix,53.1
8,LittleStJamesGiants,74.78,Where Da Gold At?,115.93
9,LittleStJamesGiants,104.39,Dew Garita,90.1
7,DobbinHoodMenNTights,68.85,Why do I bother?!,73.98
8,DobbinHoodMenNTights,95.27,Cock Mirepoix,39.26
9,DobbinHoodMenNTights,64.62,Where Da Gold At?,67.66
10,DobbinHoodMenNTights,64.58,Dew Garita,62.57
9,Cock Mirepoix,38.55,Why do I bother?!,113.4
10,Cock Mirepoix,68.89,Where Da Gold At?,91.29
11,Cock Mirepoix,53.85,Dew Garita,91.18
11,Where Da Gold At?,61.84,Why do I bother?!,57.17
12,Where Da Gold At?,92.55,Dew Garita,61.1
13,Dew Garita,62.87,Why do I bother?!,88.2
