5,8.85,Haynesworth The Hack,Starter,Jamaal Charles,Jax,RB|W/R/T
5,0.0,Haynesworth The Hack,Non-Starter,Tom Brady,TB,QB
5,0.0,Haynesworth The Hack,Non-Starter,Brandon Marshall,Sea,WR|W/R/T
5,11.6,Haynesworth The Hack,Non-Starter,Mike Sims-Walker,Jax,WR|W/R/T
5,-0.3,Haynesworth The Hack,Non-Starter,Demaryius Thomas,NE,WR|W/R/T
5,1.9,Haynesworth The Hack,Non-Starter,Thomas Jones,KC,RB|W/R/T
5,0.0,Haynesworth The Hack,Non-Starter,Vincent Jackson,TB,WR|W/R/T
5,0.3,Haynesworth The Hack,Non-Starter,LeGarrette Blount,Det,RB|W/R/T
5,11.0,Haynesworth The Hack,Starter,New York Giants,NYG,DEF
6,14.56,Haynesworth The Hack,Starter,Kyle Orton,Buf,QB
6,21.8,Haynesworth The Hack,Starter,Andre Johnson,Ten,WR|W/R/T
6,15.2,Haynesworth The Hack,Starter,Brandon Marshall,Sea,WR|W/R/T
6,23.2,Haynesworth The Hack,Starter,Arian Foster,Mia,RB|W/R/T
6,12.7,Haynesworth The Hack,Starter,Jamaal Charles,Jax,RB|W/R/T
6,8.25,Haynesworth The Hack,Starter,Dustin Keller,NYJ,TE|W/R/T
6,6.4,Haynesworth The Hack,Starter,Michael Bush,Ari,RB|W/R/T
6,11.6,Haynesworth The Hack,Non-Starter,Braylon Edwards,Sea,WR|W/R/T
6,11.78,Haynesworth The Hack,Non-Starter,Tom Brady,TB,QB
6,2.1,Haynesworth The Hack,Non-Starter,Mike Sims-Walker,Jax,WR|W/R/T
6,7.95,Haynesworth The Hack,Non-Starter,Demaryius Thomas,NE,WR|W/R/T
6,17.25,Haynesworth The Hack,Non-Starter,Thomas Jones,KC,RB|W/R/T
6,0.0,Haynesworth The Hack,Non-Starter,Vincent Jackson,TB,WR|W/R/T
6,0.0,Haynesworth The Hack,Non-Starter,LeGarrette Blount,Det,RB|W/R/T
6,9.0,Haynesworth The Hack,Starter,New York Giants,NYG,DEF
7,14.02,Haynesworth The Hack,Starter,Kyle Orton,Buf,QB
7,6.95,Haynesworth The Hack,Starter,Brandon Marshall,Sea,WR|W/R/T
7,10.55,Haynesworth The Hack,Starter,Mike Sims-Walker,Jax,WR|W/R/T
7,13.1,Haynesworth The Hack,Starter,Jamaal Charles,Jax,RB|W/R/T
7,18.5,Haynesworth The Hack,Starter,Thomas Jones,KC,RB|W/R/T
