1,7.36,Old Horse Medicine Show,Starter,Matt Ryan,Ind,QB
1,2.4,Old Horse Medicine Show,Starter,Courtland Sutton,Den,WR|W/R/T
1,7.6,Old Horse Medicine Show,Starter,Michael Gallup,Was,WR|W/R/T
1,22.1,Old Horse Medicine Show,Starter,Nick Chubb,Hou,RB|W/R/T
1,2.0,Old Horse Medicine Show,Starter,Raheem Mostert,LV,RB|W/R/T
1,11.8,Old Horse Medicine Show,Starter,George Kittle,SF,TE|W/R/T
1,0.0,Old Horse Medicine Show,Starter,Russell Gage,SF,WR|W/R/T
1,0.0,Old Horse Medicine Show,Non-Starter,Odell Beckham,Mia,WR|W/R/T
1,11.8,Old Horse Medicine Show,Non-Starter,David Johnson,NO,RB|W/R/T
1,18.2,Old Horse Medicine Show,Non-Starter,Nelson Agholor,Bal,WR|W/R/T
1,4.0,Old Horse Medicine Show,Starter,Tampa Bay Buccaneers,TB,DEF
2,21.22,Old Horse Medicine Show,Starter,Teddy Bridgewater,TB,QB
2,24.9,Old Horse Medicine Show,Starter,Courtland Sutton,Den,WR|W/R/T
2,5.1,Old Horse Medicine Show,Starter,Nelson Agholor,Bal,WR|W/R/T
2,16.8,Old Horse Medicine Show,Starter,Nick Chubb,Hou,RB|W/R/T
2,3.2,Old Horse Medicine Show,Starter,Kenneth Barber,LV,RB|W/R/T
2,5.7,Old Horse Medicine Show,Starter,George Kittle,SF,TE|W/R/T
2,24.4,Old Horse Medicine Show,Starter,Rondale Moore,Min,WR|W/R/T
2,23.9,Old Horse Medicine Show,Non-Starter,Cordarrelle Patterson,Pit,WR|RB|W/R/T
2,6.7,Old Horse Medicine Show,Non-Starter,David Johnson,NO,RB|W/R/T
2,0.0,Old Horse Medicine Show,Non-Starter,Odell Beckham,Mia,WR|W/R/T
2,21.5,Old Horse Medicine Show,Starter,Tampa Bay Buccaneers,TB,DEF
2,0.0,Old Horse Medicine Show,Starter,Michael Gallup,Was,WR|W/R/T
3,11.8,Old Horse Medicine Show,Starter,Teddy Bridgewater,TB,QB
3,8.7,Old Horse Medicine Show,Starter,Courtland Sutton,Den,WR|W/R/T
3,2.4,Old Horse Medicine Show,Starter,Rondale Moore,Min,WR|W/R/T
3,8.4,Old Horse Medicine Show,Starter,Nick Chubb,Hou,RB|W/R/T
3,16.2,Old Horse Medicine Show,Starter,Cordarrelle Patterson,Pit,WR|RB|W/R/T
3,17.1,Old Horse Medicine Show,Starter,George Kittle,SF,TE|W/R/T
3,13.7,Old Horse Medicine Show,Starter,Odell Beckham,Mia,WR|W/R/T
3,3.7,Old Horse Medicine Show,Non-Starter,Nelson Agholor,Bal,WR|W/R/T
3,23.2,Old Horse Medicine Show,Non-Starter,Kenneth Barber,LV,RB|W/R/T
3,1.1,Old Horse Medicine Show,Non-Starter,David Johnson,NO,RB|W/R/T
3,1.5,Old Horse Medicine Show,Starter,Tampa Bay Buccaneers,TB,DEF
3,0.0,Old Horse Medicine Show,Starter,Michael Gallup,Was,WR|W/R/T
4,6.8,Old Horse Medicine Show,Starter,Teddy Bridgewater,TB,QB
4,7.7,Old Horse Medicine Show,Starter,Courtland Sutton,Den,WR|W/R/T
4,5.1,Old Horse Medicine Show,Starter,Odell Beckham,Mia,WR|W/R/T
4,11.5,Old Horse Medicine Show,Starter,Nick Chubb,Hou,RB|W/R/T
4,34.6,Old Horse Medicine Show,Starter,Cordarrelle Patterson,Pit,WR|RB|W/R/T
4,8.0,Old Horse Medicine Show,Starter,George Kittle,SF,TE|W/R/T
4,8.9,Old Horse Medicine Show,Starter,Nelson Agholor,Bal,WR|W/R/T
4,6.7,Old Horse Medicine Show,Non-Starter,Rondale Moore,Min,WR|W/R/T
4,0.0,Old Horse Medicine Show,Non-Starter,Kenneth Barber,LV,RB|W/R/T
4,7.8,Old Horse Medicine Show,Non-Starter,David Johnson,NO,RB|W/R/T
4,13.0,Old Horse Medicine Show,Starter,Tampa Bay Buccaneers,TB,DEF
4,0.0,Old Horse Medicine Show,Starter,Michael Gallup,Was,WR|W/R/T
5,13.4,Old Horse Medicine Show,Starter,Kirk Cousins,Atl,QB
5,4.0,Old Horse Medicine Show,Starter,Odell Beckham,Mia,WR|W/R/T
5,25.0,Old Horse Medicine Show,Starter,Courtland Sutton,Den,WR|W/R/T
5,24.0,Old Horse Medicine Show,Starter,Nick Chubb,Hou,RB|W/R/T
5,18.4,Old Horse Medicine Show,Starter,Cordarrelle Patterson,Pit,WR|RB|W/R/T
5,1.7,Old Horse Medicine Show,Starter,Zach Ertz,Was,TE|W/R/T
5,6.5,Old Horse Medicine Show,Starter,Darnell Mooney,Atl,WR|W/R/T
5,10.1,Old Horse Medicine Show,Non-Starter,David Johnson,NO,RB|W/R/T
5,18.3,Old Horse Medicine Show,Non-Starter,Samaje Perine,Cin,RB|W/R/T
5,0.0,Old Horse Medicine Show,Non-Starter,Michael Gallup,Was,WR|W/R/T
5,9.0,Old Horse Medicine Show,Starter,Tampa Bay Buccaneers,TB,DEF
5,0.0,Old Horse Medicine Show,Starter,George Kittle,SF,TE|W/R/T
6,17.02,Old Horse Medicine Show,Starter,Carson Wentz,Min,QB
6,12.9,Old Horse Medicine Show,Starter,Odell Beckham,Mia,WR|W/R/T
6,23.4,Old Horse Medicine Show,Starter,Courtland Sutton,Den,WR|W/R/T
6,1.1,Old Horse Medicine Show,Starter,David Johnson,NO,RB|W/R/T
6,13.6,Old Horse Medicine Show,Starter,Latavius Murray,Buf,RB|W/R/T
6,12.9,Old Horse Medicine Show,Starter,Zach Ertz,Was,TE|W/R/T
6,15.5,Old Horse Medicine Show,Starter,Darnell Mooney,Atl,WR|W/R/T
6,0.0,Old Horse Medicine Show,Non-Starter,Nick Chubb,Hou,RB|W/R/T
6,0.0,Old Horse Medicine Show,Non-Starter,Cordarrelle Patterson,Pit,WR|RB|W/R/T
6,0.0,Old Horse Medicine Show,Non-Starter,Michael Gallup,Was,WR|W/R/T
6,8.5,Old Horse Medicine Show,Starter,Tampa Bay Buccaneers,TB,DEF
6,0.0,Old Horse Medicine Show,Starter,George Kittle,SF,TE|W/R/T
7,16.88,Old Horse Medicine Show,Starter,Jameis Winston,NYG,QB
7,11.8,Old Horse Medicine Show,Starter,Courtland Sutton,Den,WR|W/R/T
7,5.9,Old Horse Medicine Show,Starter,Darnell Mooney,Atl,WR|W/R/T
7,14.1,Old Horse Medicine Show,Starter,Cordarrelle Patterson,Pit,WR|RB|W/R/T
7,4.6,Old Horse Medicine Show,Starter,JaMycal Hasty,NE,RB|W/R/T
7,16.0,Old Horse Medicine Show,Starter,Zach Ertz,Was,TE|W/R/T
7,4.3,Old Horse Medicine Show,Starter,Odell Beckham,Mia,WR|W/R/T
7,0.0,Old Horse Medicine Show,Non-Starter,Nick Chubb,Hou,RB|W/R/T
7,0.0,Old Horse Medicine Show,Non-Starter,Michael Gallup,Was,WR|W/R/T
7,0.0,Old Horse Medicine Show,Non-Starter,George Kittle,SF,TE|W/R/T
7,24.5,Old Horse Medicine Show,Starter,Tampa Bay Buccaneers,TB,DEF
7,0.0,Old Horse Medicine Show,Starter,Chris Carson,Sea,RB|W/R/T
8,12.62,Old Horse Medicine Show,Starter,Teddy Bridgewater,TB,QB
8,6.0,Old Horse Medicine Show,Starter,Courtland Sutton,Den,WR|W/R/T
8,12.4,Old Horse Medicine Show,Starter,Darnell Mooney,Atl,WR|W/R/T
8,18.2,Old Horse Medicine Show,Starter,Cordarrelle Patterson,Pit,WR|RB|W/R/T
8,7.9,Old Horse Medicine Show,Starter,Nick Chubb,Hou,RB|W/R/T
8,8.2,Old Horse Medicine Show,Starter,Zach Ertz,Was,TE|W/R/T
8,1.6,Old Horse Medicine Show,Starter,Odell Beckham,Mia,WR|W/R/T
8,0.0,Old Horse Medicine Show,Non-Starter,Michael Gallup,Was,WR|W/R/T
8,0.0,Old Horse Medicine Show,Non-Starter,George Kittle,SF,TE|W/R/T
8,1.3,Old Horse Medicine Show,Non-Starter,David Johnson,NO,RB|W/R/T
8,2.5,Old Horse Medicine Show,Starter,Tampa Bay Buccaneers,TB,DEF
8,0.0,Old Horse Medicine Show,Starter,Chris Carson,Sea,RB|W/R/T
9,8.46,Old Horse Medicine Show,Starter,Jacoby Brissett,Ari,QB
9,3.9,Old Horse Medicine Show,Starter,Courtland Sutton,Den,WR|W/R/T
9,0.0,Old Horse Medicine Show,Starter,Bryan Edwards,KC,WR|W/R/T
9,19.6,Old Horse Medicine Show,Starter,Cordarrelle Patterson,Pit,WR|RB|W/R/T
9,30.3,Old Horse Medicine Show,Starter,Nick Chubb,Hou,RB|W/R/T
9,5.7,Old Horse Medicine Show,Starter,Zach Ertz,Was,TE|W/R/T
9,20.1,Old Horse Medicine Show,Starter,George Kittle,SF,TE|W/R/T
9,0.0,Old Horse Medicine Show,Non-Starter,Michael Gallup,Was,WR|W/R/T
9,0.0,Old Horse Medicine Show,Non-Starter,Odell Beckham,Mia,WR|W/R/T
9,0.0,Old Horse Medicine Show,Non-Starter,Antonio Brown,TB,WR|W/R/T
9,5.5,Old Horse Medicine Show,Starter,New Orleans Saints,NO,DEF
9,0.0,Old Horse Medicine Show,Starter,Chris Carson,Sea,RB|W/R/T
10,0.68,Old Horse Medicine Show,Starter,Matt Ryan,Ind,QB
10,4.9,Old Horse Medicine Show,Starter,Courtland Sutton,Den,WR|W/R/T
10,7.2,Old Horse Medicine Show,Starter,Michael Gallup,Was,WR|W/R/T
10,4.9,Old Horse Medicine Show,Starter,Cordarrelle Patterson,Pit,WR|RB|W/R/T
10,5.0,Old Horse Medicine Show,Starter,Alexander Mattison,Mia,RB|W/R/T
10,8.6,Old Horse Medicine Show,Starter,Zach Ertz,Was,TE|W/R/T
